Batch_ID,Product_Type,Production_Line,Machine_ID,Workers_Assigned,Raw_Material_Quantity,Batch_Size,Production_Priority,Quality_Check_Level,Machine_Load,Temperature_Control,Shift,Processing_Time,Worker_Wage_Rate_INR_per_Min,Machine_Usage_Rate_INR_per_Min,Raw_Material_Cost_INR,Batch_Cost_INR,Production_Timestamp
B3095,OncoDrug_B,Line_3,M3,3,135.17,142,High,Critical,0.55,Stable,Night,65.77,3.27,10.43,11231.65,12562.4,01/04/2024 06:00
B3096,OncoDrug_D,Line_2,M3,4,132.63,139,Low,Strict,0.84,Minor_Fluctuation,Morning,67.42,2.92,8.95,17409.81,18799.79,01/04/2024 08:00
B3097,OncoDrug_D,Line_2,M1,2,195.55,108,Low,Critical,0.53,Stable,Evening,62.3,2.47,17.28,17304.23,18688.33,01/04/2024 10:00
B3098,OncoDrug_B,Line_1,M5,4,189.41,161,Medium,Standard,0.76,Controlled_Adjustment,Night,56.81,2.32,9.17,19317.28,20364.48,01/04/2024 12:00
B3099,OncoDrug_A,Line_2,M3,4,225.07,170,Low,Standard,0.45,Minor_Fluctuation,Night,64.12,3.38,10.68,29477.91,31030.69,01/04/2024 14:00
B3100,OncoDrug_B,Line_2,M5,6,246.16,138,Medium,Standard,0.54,Stable,Evening,52.46,2.47,15.73,25884.84,27486.62,01/04/2024 16:00
B3101,OncoDrug_A,Line_1,M2,3,190.13,114,Low,Strict,0.76,Stable,Evening,61.14,2.02,19.58,17491.54,19058.76,01/04/2024 18:00
B3102,OncoDrug_B,Line_4,M2,3,182.51,97,High,Critical,0.89,Minor_Fluctuation,Evening,66.44,3.52,16.28,17719.12,19501.92,01/04/2024 20:00
B3103,OncoDrug_C,Line_1,M4,7,229.41,83,Low,Standard,0.47,Controlled_Adjustment,Night,43.86,3.12,18.98,27960.79,29750.28,01/04/2024 22:00
B3104,OncoDrug_B,Line_2,M5,6,84.45,88,Low,Standard,0.63,Minor_Fluctuation,Morning,36.58,2.7,14.67,8836.62,9965.73,02/04/2024 00:00
B3105,OncoDrug_C,Line_1,M3,2,208.77,165,High,Standard,0.55,Minor_Fluctuation,Evening,54.76,2.88,10.43,25696.29,26583.4,02/04/2024 02:00
B3106,OncoDrug_C,Line_1,M4,4,197.01,67,High,Critical,0.57,Minor_Fluctuation,Night,39.06,3.53,19.57,19865.91,21182.23,02/04/2024 04:00
B3107,OncoDrug_D,Line_4,M1,6,103.29,70,Medium,Critical,0.57,Minor_Fluctuation,Morning,42.92,2.67,11.55,10237.93,11420.37,02/04/2024 06:00
B3108,OncoDrug_B,Line_3,M2,4,157.41,165,High,Critical,0.59,Stable,Evening,65.09,2.32,16.88,20233.85,21935.95,02/04/2024 08:00
B3109,OncoDrug_B,Line_4,M2,4,89.6,137,High,Critical,0.65,Controlled_Adjustment,Night,57.14,2.2,19.57,10443.03,12063.9,02/04/2024 10:00
B3110,OncoDrug_C,Line_4,M4,3,216.55,197,High,Standard,0.8,Stable,Morning,60.63,2.52,10.78,26255.31,27366.86,02/04/2024 12:00
B3111,OncoDrug_B,Line_1,M3,2,119.11,160,High,Standard,0.41,Minor_Fluctuation,Night,43.71,3.18,9.5,16250.39,16943.92,02/04/2024 14:00
B3112,OncoDrug_C,Line_3,M5,5,189.18,80,High,Critical,0.45,Controlled_Adjustment,Morning,46.37,2.15,8.52,15832.67,16726.07,02/04/2024 16:00
B3113,OncoDrug_A,Line_4,M3,2,125.61,173,Medium,Strict,0.89,Minor_Fluctuation,Morning,71.9,2.53,9.35,17133.48,18170.03,02/04/2024 18:00
B3114,OncoDrug_D,Line_4,M1,4,160.17,135,Medium,Strict,0.48,Stable,Evening,53.74,2.52,8.52,20129.63,21128.3,02/04/2024 20:00
B3115,OncoDrug_C,Line_3,M3,5,147.6,129,High,Standard,0.5,Minor_Fluctuation,Night,40.17,2.07,9.75,17509.25,18316.0,02/04/2024 22:00
B3116,OncoDrug_B,Line_3,M1,5,123.71,185,Medium,Critical,0.62,Stable,Night,76.21,3.43,14.22,11021.7,13413.42,03/04/2024 00:00
B3117,OncoDrug_D,Line_4,M5,2,204.56,184,High,Standard,0.58,Stable,Night,58.96,2.67,19.95,25093.13,26583.83,03/04/2024 02:00
B3118,OncoDrug_C,Line_3,M2,3,142.86,152,Medium,Critical,0.92,Minor_Fluctuation,Night,83.73,2.58,16.05,15907.82,17900.59,03/04/2024 04:00
B3119,OncoDrug_A,Line_4,M3,4,241.6,154,Low,Critical,0.87,Controlled_Adjustment,Morning,91.38,3.32,9.45,23382.26,25458.11,03/04/2024 06:00
B3120,OncoDrug_C,Line_2,M2,6,155.36,65,Medium,Standard,0.47,Stable,Evening,33.6,3.22,18.93,20566.58,21851.22,03/04/2024 08:00
B3121,OncoDrug_C,Line_4,M5,2,122.09,135,High,Critical,0.61,Controlled_Adjustment,Morning,60.35,3.18,19.45,14931.93,16489.96,03/04/2024 10:00
B3122,OncoDrug_D,Line_1,M2,4,152.75,125,High,Critical,0.74,Stable,Morning,58.39,2.88,15.43,12412.74,13987.33,03/04/2024 12:00
B3123,OncoDrug_C,Line_3,M1,7,149.4,78,Medium,Strict,0.81,Stable,Night,47.93,3.2,15.03,13747.78,15541.96,03/04/2024 14:00
B3124,OncoDrug_A,Line_4,M2,2,214.96,176,Low,Strict,0.77,Minor_Fluctuation,Morning,81.68,3.48,9.33,17683.33,19014.71,03/04/2024 16:00
B3125,OncoDrug_B,Line_4,M1,3,212.32,61,Low,Standard,0.71,Minor_Fluctuation,Evening,43.46,3.02,11.32,27114.15,27999.29,03/04/2024 18:00
B3126,OncoDrug_A,Line_1,M3,6,132.8,68,Low,Standard,0.78,Minor_Fluctuation,Evening,44.19,3.0,13.43,10960.43,12349.46,03/04/2024 20:00
B3127,OncoDrug_A,Line_4,M2,7,241.66,181,Low,Critical,0.46,Minor_Fluctuation,Morning,86.73,2.92,11.43,24761.81,27524.16,03/04/2024 22:00
B3128,OncoDrug_A,Line_4,M1,2,121.07,191,High,Strict,0.46,Minor_Fluctuation,Night,62.22,2.58,18.02,13095.27,14537.74,04/04/2024 00:00
B3129,OncoDrug_A,Line_2,M4,4,243.67,154,High,Standard,0.8,Controlled_Adjustment,Morning,52.75,3.33,11.23,21050.37,22346.26,04/04/2024 02:00
B3130,OncoDrug_B,Line_4,M5,7,88.89,121,Medium,Standard,0.64,Minor_Fluctuation,Morning,44.42,2.28,13.02,10137.18,11425.36,04/04/2024 04:00
B3131,OncoDrug_B,Line_2,M3,5,234.65,188,High,Strict,0.53,Stable,Evening,62.6,2.83,16.5,19434.66,21354.39,04/04/2024 06:00
B3132,OncoDrug_D,Line_3,M5,2,227.61,142,High,Strict,0.52,Stable,Morning,52.78,3.0,10.35,23471.54,24334.5,04/04/2024 08:00
B3133,OncoDrug_B,Line_3,M2,5,102.98,109,High,Standard,0.58,Stable,Evening,36.84,3.02,16.05,13700.76,14847.71,04/04/2024 10:00
B3134,OncoDrug_D,Line_2,M3,6,129.23,139,Medium,Strict,0.44,Minor_Fluctuation,Morning,50.3,2.28,11.07,13750.96,14996.72,04/04/2024 12:00
B3135,OncoDrug_A,Line_2,M2,6,211.08,60,Medium,Strict,0.43,Controlled_Adjustment,Evening,33.94,2.55,12.75,28866.4,29818.41,04/04/2024 14:00
B3136,OncoDrug_D,Line_1,M5,6,232.68,71,Medium,Strict,0.61,Minor_Fluctuation,Evening,54.24,2.18,13.28,33741.33,35172.36,04/04/2024 16:00
B3137,OncoDrug_B,Line_2,M5,6,112.74,66,Low,Strict,0.54,Stable,Morning,40.49,2.23,16.22,13369.95,14569.13,04/04/2024 18:00
B3138,OncoDrug_B,Line_4,M4,3,245.83,138,Medium,Critical,0.72,Stable,Morning,73.49,2.33,18.03,33379.89,35219.59,04/04/2024 20:00
B3139,OncoDrug_D,Line_4,M4,6,98.88,155,Low,Standard,0.7,Minor_Fluctuation,Morning,57.14,2.97,9.47,8614.35,10172.37,04/04/2024 22:00
B3140,OncoDrug_B,Line_4,M5,7,105.95,140,Medium,Critical,0.58,Stable,Evening,66.28,3.02,17.75,13551.56,16127.65,05/04/2024 00:00
B3141,OncoDrug_B,Line_2,M3,4,116.74,190,Low,Standard,0.9,Minor_Fluctuation,Morning,73.38,2.85,15.18,17335.81,19286.5,05/04/2024 02:00
B3142,OncoDrug_C,Line_2,M4,3,114.72,107,Low,Critical,0.54,Minor_Fluctuation,Night,61.43,2.92,18.95,10650.89,12352.5,05/04/2024 04:00
B3143,OncoDrug_B,Line_1,M5,3,233.26,167,Low,Standard,0.58,Stable,Evening,66.62,3.22,11.1,28535.63,29917.99,05/04/2024 06:00
B3144,OncoDrug_D,Line_4,M3,6,183.95,130,High,Strict,0.43,Stable,Morning,46.99,2.47,9.87,21420.7,22579.79,05/04/2024 08:00
B3145,OncoDrug_A,Line_2,M1,3,166.66,154,Low,Strict,0.48,Stable,Night,69.93,3.6,12.73,13625.68,15271.37,05/04/2024 10:00
B3146,OncoDrug_A,Line_2,M4,4,135.99,173,Low,Critical,0.84,Controlled_Adjustment,Evening,92.22,3.4,15.95,15039.18,17764.28,05/04/2024 12:00
B3147,OncoDrug_D,Line_4,M4,5,92.06,128,High,Critical,0.69,Minor_Fluctuation,Night,56.8,2.18,19.65,11864.06,13600.25,05/04/2024 14:00
B3148,OncoDrug_D,Line_1,M2,3,220.85,162,Low,Standard,0.66,Minor_Fluctuation,Morning,61.13,2.07,12.6,20777.48,21926.73,05/04/2024 16:00
B3149,OncoDrug_A,Line_3,M5,7,248.84,174,Low,Strict,0.68,Stable,Morning,79.03,2.68,14.63,24621.65,27262.57,05/04/2024 18:00
B3150,OncoDrug_A,Line_2,M3,6,226.24,126,Low,Standard,0.62,Stable,Night,57.85,3.5,17.82,31683.89,33929.43,05/04/2024 20:00
B3151,OncoDrug_B,Line_1,M2,4,97.92,185,Medium,Standard,0.59,Stable,Evening,54.98,2.13,14.42,12711.43,13973.22,05/04/2024 22:00
B3152,OncoDrug_D,Line_2,M1,6,220.3,139,High,Critical,0.79,Minor_Fluctuation,Evening,71.06,3.02,12.55,27176.76,29354.75,06/04/2024 00:00
B3153,OncoDrug_B,Line_2,M2,7,101.54,63,High,Standard,0.92,Minor_Fluctuation,Morning,34.14,3.23,17.13,11411.54,12769.17,06/04/2024 02:00
B3154,OncoDrug_C,Line_1,M1,2,177.88,107,High,Standard,0.7,Stable,Night,43.97,2.53,8.83,14792.12,15403.3,06/04/2024 04:00
B3155,OncoDrug_C,Line_4,M5,7,85.58,130,Medium,Critical,0.45,Minor_Fluctuation,Evening,50.99,2.87,14.95,12611.22,14396.72,06/04/2024 06:00
B3156,OncoDrug_B,Line_1,M5,5,224.91,140,Medium,Strict,0.51,Stable,Night,55.71,2.87,10.93,18806.91,20214.52,06/04/2024 08:00
B3157,OncoDrug_A,Line_4,M2,2,249.95,83,High,Critical,0.47,Minor_Fluctuation,Evening,49.96,2.85,18.18,27928.43,29121.64,06/04/2024 10:00
B3158,OncoDrug_A,Line_4,M4,6,199.67,151,Low,Critical,0.65,Minor_Fluctuation,Evening,83.0,3.42,15.57,18158.2,21151.73,06/04/2024 12:00
B3159,OncoDrug_C,Line_3,M1,5,197.17,158,High,Critical,0.66,Controlled_Adjustment,Evening,72.64,3.62,17.55,19601.66,22190.07,06/04/2024 14:00
B3160,OncoDrug_A,Line_2,M2,4,107.3,77,High,Strict,0.58,Stable,Morning,34.02,2.8,9.85,13622.9,14339.02,06/04/2024 16:00
B3161,OncoDrug_C,Line_4,M5,5,136.65,84,Medium,Critical,0.66,Controlled_Adjustment,Night,52.84,2.1,12.98,20107.73,21348.59,06/04/2024 18:00
B3162,OncoDrug_D,Line_4,M3,5,109.85,171,Low,Standard,0.79,Stable,Night,59.56,2.38,13.38,16145.89,17652.75,06/04/2024 20:00
B3163,OncoDrug_A,Line_4,M1,6,133.89,178,Medium,Critical,0.72,Controlled_Adjustment,Night,85.38,3.48,8.55,14970.77,17485.21,06/04/2024 22:00
B3164,OncoDrug_B,Line_2,M3,5,224.63,96,Low,Strict,0.53,Minor_Fluctuation,Evening,47.3,2.0,11.58,33390.56,34411.45,07/04/2024 00:00
B3165,OncoDrug_B,Line_4,M5,4,156.87,119,High,Strict,0.93,Controlled_Adjustment,Evening,55.17,2.12,11.78,20740.31,21857.51,07/04/2024 02:00
B3166,OncoDrug_B,Line_2,M4,6,160.44,155,Low,Critical,0.9,Minor_Fluctuation,Night,91.35,2.65,9.17,20673.9,22963.74,07/04/2024 04:00
B3167,OncoDrug_B,Line_4,M2,6,132.47,60,Low,Critical,0.42,Minor_Fluctuation,Night,41.41,2.88,8.5,11026.34,12094.72,07/04/2024 06:00
B3168,OncoDrug_D,Line_2,M4,2,226.61,87,Medium,Critical,0.54,Minor_Fluctuation,Morning,58.93,3.5,11.77,22413.03,23518.95,07/04/2024 08:00
B3169,OncoDrug_B,Line_1,M5,6,89.02,151,Medium,Strict,0.63,Stable,Night,56.13,3.0,9.05,11415.43,12933.75,07/04/2024 10:00
B3170,OncoDrug_B,Line_3,M4,7,247.44,139,High,Critical,0.55,Controlled_Adjustment,Evening,64.73,2.9,10.67,36163.51,38167.98,07/04/2024 12:00
B3171,OncoDrug_B,Line_4,M2,2,113.63,147,High,Strict,0.93,Stable,Night,63.12,2.12,16.27,16743.75,18037.71,07/04/2024 14:00
B3172,OncoDrug_C,Line_2,M2,2,170.56,73,High,Strict,0.95,Minor_Fluctuation,Evening,47.56,2.43,11.23,17165.7,17931.41,07/04/2024 16:00
B3173,OncoDrug_B,Line_2,M5,7,96.25,103,Low,Critical,0.56,Controlled_Adjustment,Morning,51.72,2.18,15.05,8852.59,10421.43,07/04/2024 18:00
B3174,OncoDrug_B,Line_1,M2,4,199.83,81,Low,Standard,0.76,Minor_Fluctuation,Night,49.39,3.42,9.6,17531.25,18680.39,07/04/2024 20:00
B3175,OncoDrug_B,Line_3,M4,5,202.5,160,High,Strict,0.45,Stable,Morning,55.36,3.28,14.62,18768.74,20486.74,07/04/2024 22:00
B3176,OncoDrug_C,Line_1,M5,5,215.87,185,Medium,Strict,0.5,Minor_Fluctuation,Night,65.01,2.03,13.43,21943.82,23478.05,08/04/2024 00:00
B3177,OncoDrug_B,Line_1,M3,7,237.59,182,High,Standard,0.8,Controlled_Adjustment,Night,59.77,2.47,14.53,24996.96,26897.64,08/04/2024 02:00
B3178,OncoDrug_D,Line_1,M1,6,236.9,110,High,Critical,0.76,Stable,Night,64.61,3.13,12.25,23134.09,25140.23,08/04/2024 04:00
B3179,OncoDrug_D,Line_1,M2,2,162.18,158,High,Strict,0.65,Minor_Fluctuation,Evening,63.11,3.13,16.0,18109.07,19514.32,08/04/2024 06:00
B3180,OncoDrug_B,Line_4,M5,7,214.95,96,Low,Critical,0.63,Controlled_Adjustment,Morning,64.06,3.2,16.92,23089.71,25608.33,08/04/2024 08:00
B3181,OncoDrug_B,Line_2,M3,6,187.98,102,High,Critical,0.83,Controlled_Adjustment,Evening,58.5,2.93,17.55,19300.07,21356.35,08/04/2024 10:00
B3182,OncoDrug_A,Line_4,M4,6,128.51,112,Low,Critical,0.66,Controlled_Adjustment,Night,65.55,3.13,16.42,17515.89,19824.34,08/04/2024 12:00
B3183,OncoDrug_B,Line_1,M1,4,181.12,95,Low,Strict,0.68,Stable,Morning,58.81,2.85,19.23,19227.05,21028.6,08/04/2024 14:00
B3184,OncoDrug_B,Line_3,M3,5,99.64,152,High,Standard,0.45,Stable,Evening,38.61,2.22,13.28,12710.69,13651.49,08/04/2024 16:00
B3185,OncoDrug_A,Line_3,M1,3,180.93,86,Medium,Standard,0.54,Controlled_Adjustment,Morning,45.73,2.87,9.18,25840.3,26653.53,08/04/2024 18:00
B3186,OncoDrug_C,Line_3,M5,6,196.25,111,High,Critical,0.67,Controlled_Adjustment,Evening,59.67,3.13,19.07,21856.98,24116.48,08/04/2024 20:00
B3187,OncoDrug_A,Line_4,M4,2,241.95,100,High,Strict,0.61,Controlled_Adjustment,Evening,51.27,2.05,12.57,23904.72,24759.22,08/04/2024 22:00
B3188,OncoDrug_C,Line_2,M2,4,249.88,102,Low,Standard,0.58,Controlled_Adjustment,Evening,47.86,2.45,17.28,22765.56,24061.77,09/04/2024 00:00
B3189,OncoDrug_B,Line_2,M2,4,230.45,108,Medium,Critical,0.84,Minor_Fluctuation,Night,73.73,2.9,15.1,30954.02,32922.61,09/04/2024 02:00
B3190,OncoDrug_D,Line_3,M3,2,167.22,62,Low,Standard,0.87,Minor_Fluctuation,Night,47.47,2.5,9.07,22043.67,22711.42,09/04/2024 04:00
B3191,OncoDrug_B,Line_4,M3,4,237.68,68,Medium,Critical,0.6,Minor_Fluctuation,Morning,53.94,3.07,14.77,19036.78,20494.96,09/04/2024 06:00
B3192,OncoDrug_C,Line_1,M3,6,201.41,82,Medium,Strict,0.85,Controlled_Adjustment,Morning,51.81,2.35,14.97,17233.59,18739.53,09/04/2024 08:00
B3193,OncoDrug_A,Line_1,M3,2,106.32,164,High,Strict,0.63,Minor_Fluctuation,Evening,60.81,2.87,19.0,12759.79,14263.82,09/04/2024 10:00
B3194,OncoDrug_A,Line_1,M1,4,119.62,131,Low,Strict,0.94,Minor_Fluctuation,Evening,67.87,2.75,16.67,10425.48,12303.22,09/04/2024 12:00
B3195,OncoDrug_B,Line_2,M4,5,110.6,62,High,Critical,0.87,Minor_Fluctuation,Morning,50.21,2.85,17.85,13527.95,15139.69,09/04/2024 14:00
B3196,OncoDrug_B,Line_1,M3,6,138.73,78,Low,Critical,0.66,Stable,Night,56.74,2.62,10.45,20599.93,22083.68,09/04/2024 16:00
B3197,OncoDrug_A,Line_1,M5,4,217.53,142,Low,Strict,0.65,Stable,Evening,68.51,2.23,14.9,26603.06,28235.88,09/04/2024 18:00
B3198,OncoDrug_C,Line_3,M3,4,144.37,160,High,Strict,0.7,Stable,Evening,57.07,2.6,8.33,18811.63,19880.75,09/04/2024 20:00
B3199,OncoDrug_B,Line_4,M3,5,190.7,103,Medium,Strict,0.63,Stable,Evening,60.39,2.72,9.62,16752.41,18153.46,09/04/2024 22:00
B3200,OncoDrug_D,Line_1,M4,2,156.31,175,Medium,Critical,0.51,Controlled_Adjustment,Night,72.43,2.97,12.37,18568.95,19894.42,10/04/2024 00:00
B3201,OncoDrug_C,Line_1,M5,3,82.22,88,Low,Standard,0.5,Minor_Fluctuation,Night,34.11,2.37,11.82,11244.09,11889.34,10/04/2024 02:00
B3202,OncoDrug_B,Line_1,M5,5,117.58,63,Low,Standard,0.7,Controlled_Adjustment,Night,45.69,3.33,19.45,12689.47,14339.64,10/04/2024 04:00
B3203,OncoDrug_C,Line_3,M4,5,249.81,102,Medium,Critical,0.5,Minor_Fluctuation,Night,60.58,2.23,15.0,25876.75,27461.93,10/04/2024 06:00
B3204,OncoDrug_A,Line_2,M4,5,150.82,81,High,Critical,0.45,Controlled_Adjustment,Morning,40.3,2.72,19.68,19015.45,20356.1,10/04/2024 08:00
B3205,OncoDrug_C,Line_1,M1,5,82.02,133,Low,Strict,0.4,Stable,Morning,49.79,3.48,17.97,6924.45,8686.19,10/04/2024 10:00
B3206,OncoDrug_B,Line_1,M5,5,150.67,151,Low,Strict,0.59,Controlled_Adjustment,Evening,68.95,3.6,11.88,19944.27,22004.72,10/04/2024 12:00
B3207,OncoDrug_D,Line_1,M2,6,206.49,138,High,Strict,0.77,Minor_Fluctuation,Night,58.6,2.65,18.53,28168.72,30186.51,10/04/2024 14:00
B3208,OncoDrug_D,Line_1,M3,5,201.93,107,Low,Standard,0.63,Controlled_Adjustment,Morning,56.51,2.6,14.45,23161.1,24712.3,10/04/2024 16:00
B3209,OncoDrug_A,Line_3,M5,2,196.06,189,Medium,Standard,0.52,Stable,Evening,63.77,3.6,13.08,27566.73,28860.19,10/04/2024 18:00
B3210,OncoDrug_C,Line_3,M1,5,185.98,198,Low,Strict,0.5,Stable,Evening,74.45,3.05,9.5,21135.64,22978.28,10/04/2024 20:00
B3211,OncoDrug_D,Line_2,M3,3,93.6,67,High,Strict,0.63,Controlled_Adjustment,Night,37.74,3.52,17.23,9336.39,10384.93,10/04/2024 22:00
B3212,OncoDrug_A,Line_1,M1,3,204.79,123,Low,Strict,0.74,Controlled_Adjustment,Evening,66.65,2.77,16.88,27105.24,28783.71,11/04/2024 00:00
B3213,OncoDrug_C,Line_1,M3,7,212.14,87,Medium,Critical,0.93,Minor_Fluctuation,Morning,69.67,3.22,17.97,20394.03,23214.5,11/04/2024 02:00
B3214,OncoDrug_D,Line_2,M3,2,151.0,106,High,Critical,0.46,Stable,Night,50.34,2.42,12.23,20579.25,21438.38,11/04/2024 04:00
B3215,OncoDrug_B,Line_4,M4,2,84.47,144,Medium,Standard,0.62,Minor_Fluctuation,Morning,52.71,2.27,9.1,8263.8,8982.41,11/04/2024 06:00
B3216,OncoDrug_B,Line_4,M5,4,174.56,71,Medium,Strict,0.69,Stable,Night,42.12,2.07,18.07,17368.7,18477.86,11/04/2024 08:00
B3217,OncoDrug_A,Line_1,M5,7,137.62,165,Medium,Standard,0.85,Controlled_Adjustment,Morning,62.12,2.42,17.73,17357.23,19509.69,11/04/2024 10:00
B3218,OncoDrug_C,Line_4,M4,4,156.89,82,Medium,Standard,0.67,Controlled_Adjustment,Evening,38.92,3.58,11.42,22388.8,23390.99,11/04/2024 12:00
B3219,OncoDrug_D,Line_4,M1,2,166.57,79,Medium,Strict,0.62,Minor_Fluctuation,Morning,48.45,3.08,16.12,19234.24,20313.87,11/04/2024 14:00
B3220,OncoDrug_D,Line_2,M5,2,106.83,65,Medium,Critical,0.66,Controlled_Adjustment,Night,48.47,2.07,8.88,9465.65,10096.57,11/04/2024 16:00
B3221,OncoDrug_A,Line_4,M3,6,182.91,130,High,Standard,0.87,Minor_Fluctuation,Morning,52.24,3.28,11.18,23014.17,24627.52,11/04/2024 18:00
B3222,OncoDrug_D,Line_3,M3,5,94.7,170,High,Standard,0.6,Controlled_Adjustment,Night,41.95,3.53,17.25,14156.67,15621.42,11/04/2024 20:00
B3223,OncoDrug_C,Line_3,M2,7,103.24,139,Medium,Strict,0.76,Stable,Evening,59.72,2.73,11.62,14344.05,16180.44,11/04/2024 22:00
B3224,OncoDrug_A,Line_3,M5,6,138.32,135,High,Critical,0.76,Minor_Fluctuation,Evening,57.97,3.27,14.53,18794.46,20773.17,12/04/2024 00:00
B3225,OncoDrug_C,Line_1,M2,6,88.36,175,Medium,Standard,0.56,Stable,Night,55.53,3.65,16.28,7120.3,9240.62,12/04/2024 02:00
B3226,OncoDrug_B,Line_1,M4,3,83.24,64,Low,Strict,0.91,Controlled_Adjustment,Evening,46.43,2.33,8.93,9721.34,10461.12,12/04/2024 04:00
B3227,OncoDrug_D,Line_3,M2,6,84.93,68,Low,Standard,0.91,Controlled_Adjustment,Morning,47.32,3.28,9.08,12707.07,14069.1,12/04/2024 06:00
B3228,OncoDrug_D,Line_2,M4,6,90.96,153,Low,Standard,0.68,Controlled_Adjustment,Morning,56.36,2.75,17.08,12579.13,14471.89,12/04/2024 08:00
B3229,OncoDrug_C,Line_2,M3,4,156.85,146,Medium,Standard,0.75,Minor_Fluctuation,Morning,55.33,3.27,19.77,13628.54,15445.21,12/04/2024 10:00
B3230,OncoDrug_D,Line_3,M5,4,175.23,118,Medium,Critical,0.84,Controlled_Adjustment,Night,63.5,2.08,18.65,19278.5,20991.94,12/04/2024 12:00
B3231,OncoDrug_B,Line_3,M4,5,96.94,154,Low,Critical,0.87,Minor_Fluctuation,Evening,83.76,2.13,11.65,11681.71,13550.95,12/04/2024 14:00
B3232,OncoDrug_D,Line_2,M3,6,240.37,189,Medium,Strict,0.9,Minor_Fluctuation,Morning,82.03,2.78,9.62,29964.67,32123.43,12/04/2024 16:00
B3233,OncoDrug_D,Line_4,M1,5,174.13,85,Low,Critical,0.64,Minor_Fluctuation,Night,62.48,2.9,14.32,14270.18,16070.64,12/04/2024 18:00
B3234,OncoDrug_C,Line_1,M2,7,116.66,163,Low,Strict,0.86,Controlled_Adjustment,Evening,76.66,2.72,18.33,9644.67,12507.92,12/04/2024 20:00
B3235,OncoDrug_D,Line_1,M4,6,191.01,146,Medium,Standard,0.73,Minor_Fluctuation,Night,57.0,3.47,18.95,28384.6,30650.35,12/04/2024 22:00
B3236,OncoDrug_B,Line_3,M1,5,151.55,162,Medium,Critical,0.49,Controlled_Adjustment,Morning,73.04,2.85,8.98,12791.12,14488.09,13/04/2024 00:00
B3237,OncoDrug_B,Line_4,M2,2,133.27,116,Medium,Standard,0.87,Controlled_Adjustment,Evening,57.07,2.35,14.03,13492.77,14561.88,13/04/2024 02:00
B3238,OncoDrug_D,Line_1,M3,4,212.86,154,High,Strict,0.94,Minor_Fluctuation,Night,59.8,3.02,14.03,17108.05,18668.83,13/04/2024 04:00
B3239,OncoDrug_D,Line_3,M3,7,137.66,127,High,Standard,0.41,Controlled_Adjustment,Evening,39.04,3.42,19.07,13077.84,14755.91,13/04/2024 06:00
B3240,OncoDrug_D,Line_3,M1,3,225.04,74,Medium,Critical,0.69,Controlled_Adjustment,Morning,57.49,2.4,18.33,28423.99,29891.9,13/04/2024 08:00
B3241,OncoDrug_B,Line_1,M4,6,170.37,166,Medium,Critical,0.7,Stable,Evening,77.39,3.12,13.67,18328.37,20833.23,13/04/2024 10:00
B3242,OncoDrug_D,Line_2,M1,6,153.03,159,High,Critical,0.75,Stable,Evening,65.18,2.73,11.67,19191.6,21020.98,13/04/2024 12:00
B3243,OncoDrug_D,Line_2,M4,3,174.08,71,Low,Strict,0.78,Stable,Morning,57.34,3.28,15.57,25413.06,26870.45,13/04/2024 14:00
B3244,OncoDrug_C,Line_4,M3,3,167.14,188,High,Standard,0.75,Controlled_Adjustment,Night,59.7,2.45,13.63,19395.66,20648.37,13/04/2024 16:00
B3245,OncoDrug_C,Line_1,M1,6,214.43,117,Low,Strict,0.43,Controlled_Adjustment,Morning,61.77,3.3,15.98,28035.56,30245.9,13/04/2024 18:00
B3246,OncoDrug_D,Line_2,M2,2,224.87,129,Medium,Strict,0.59,Stable,Morning,63.95,2.97,9.47,27111.44,28096.27,13/04/2024 20:00
B3247,OncoDrug_A,Line_4,M1,7,237.68,116,High,Standard,0.76,Controlled_Adjustment,Night,41.39,2.0,12.8,20513.3,21622.55,13/04/2024 22:00
B3248,OncoDrug_B,Line_2,M1,7,97.64,156,Low,Strict,0.73,Minor_Fluctuation,Morning,68.98,2.3,17.7,8582.71,10914.24,14/04/2024 00:00
B3249,OncoDrug_C,Line_4,M3,5,131.95,101,Low,Strict,0.88,Minor_Fluctuation,Night,55.24,3.62,11.58,18018.5,19657.29,14/04/2024 02:00
B3250,OncoDrug_B,Line_4,M2,7,249.49,85,Low,Standard,0.53,Minor_Fluctuation,Morning,44.52,2.82,16.05,30038.04,31630.37,14/04/2024 04:00
B3251,OncoDrug_D,Line_2,M5,7,205.07,69,Low,Standard,0.94,Stable,Morning,48.85,2.48,12.72,22574.66,24045.04,14/04/2024 06:00
B3252,OncoDrug_C,Line_1,M5,3,123.66,68,Low,Strict,0.42,Controlled_Adjustment,Night,43.89,3.65,8.75,14365.93,15230.56,14/04/2024 08:00
B3253,OncoDrug_D,Line_3,M3,3,132.31,166,Medium,Critical,0.42,Controlled_Adjustment,Night,63.79,3.28,11.12,15915.74,17253.2,14/04/2024 10:00
B3254,OncoDrug_A,Line_3,M1,2,140.82,155,Low,Strict,0.53,Controlled_Adjustment,Night,65.9,2.63,9.2,19268.44,20221.79,14/04/2024 12:00
B3255,OncoDrug_B,Line_2,M1,5,205.29,163,Low,Standard,0.66,Stable,Morning,62.04,3.08,16.68,23680.53,25672.02,14/04/2024 14:00
